GifID,GIF URL,VIEWS,RATING,ULD,ULM,ULY,ULT,TRD,TRM,TRY,TRT,TAGS
oz4aUpioWvqPAIwmxC,https://giphy.com/gifs/hyperrpg-game-twitch-oz4aUpioWvqPAIwmxC,10417647,g,24,2,2018,22:23:29,21,8,2018,22:00:02,game|reaction|reactions|weird|hello|hi|creepy|twitch|rpg|hey|nerd|geek|dnd|camera|hyper rpg|nerds|d&d|nerdy|geeky|geeks|hyperrpg|hyper|roleplaying|hyper_rpg|role playing|greeting|creep|odd|sneaky|sneak|sinister|eerie|greet|branson|ominous|mrpianopants|branson nejame|nejame|menacing|GIF|Animated GIF
iqslzcOrarFxwbtzMU,https://giphy.com/gifs/hyperrpg-game-reaction-iqslzcOrarFxwbtzMU,8665971,g,17,8,2018,05:11:18,17,8,2018,19:15:01,game|reaction|meme|sad|black and white|reactions|live|hello|black|mrw|crying|memes|twitch|rpg|like|white|internet|cry|online|nerd|geek|rose|and|dnd|lost|hyper rpg|nerds|d&d|nerdy|geeky|geeks|hyperrpg|tears|feelings|data|of|hyper|stream|depressed|roleplaying|disappointed|hyper_rpg|sound|role playing|darkness|loser|rogue|improv|feeling|interweb|silence|tear|emily|dungeon|inc|conspiracy|sobbing|lose|volunteer|roguelike|heartbroken|art gif|sob|medication|sorrow|black & white|analyst|rogue like|incorporated|compliant|disappoint|melancholy|roguelike01|emily rose|artgif|somber|jacobson|frankly|sad panda|tearful|frankly_emily|franklyemily|art gifs|emily jacobson|hello darkness|sound of silence|my old friend|artgifs|rethinking life choices|rethink life choices|GIF|Animated GIF
7JQOcgVzwn9zm6FZC8,https://giphy.com/gifs/hyperrpg-game-reaction-7JQOcgVzwn9zm6FZC8,7648137,g,1,5,2018,22:10:54,29,8,2018,01:45:02,game|happy|reaction|meme|smile|excited|cool|reactions|live|memes|twitch|green|rpg|internet|online|power|nerd|geek|react|player|joy|and|dnd|up|thumbs up|smiling|go|nerds|d&d|nerdy|geeky|geeks|hyperrpg|inspiration|story|paper|cheer|hyper|dice|motivation|stream|tabletop|roll|die|roleplaying|content|bro|joe|power rangers|rolling|role playing|force|sarcasm|sarcastic|streaming|unimpressed|silver|pen|interweb|grin|rangers|amused|cheerful|joyful|thumbs|yoshi|inspire|good luck|thumb|delighted|entertained|ranger|grinning|saban|inspired|not amused|cool story bro|go go|hyperforce|hyper force|brah|hydra|roleplayer|pen and paper|motivate|sabans|yoshi sudarso|green ranger|sudarso|shih|yoshi_sudarso|encouraged|silver ranger|yoshisudarso|GIF|Animated GIF
7EeLI1Ybj8lWrV1I2u,https://giphy.com/gifs/hyperrpg-dnd-roguelike-rogue-like-7EeLI1Ybj8lWrV1I2u,7461684,g,31,8,2018,06:19:07,31,8,2018,22:45:01,game|cute|reaction|reactions|live|mrw|twitch|rpg|like|adorable|internet|online|nerd|geek|dnd|hyper rpg|nerds|d&d|nerdy|geeky|geeks|thinking|hyperrpg|data|hyper|stream|think|roleplaying|hyper_rpg|awww|idea|role playing|rogue|improv|interweb|plan|dungeon|inc|conspiracy|thought|volunteer|roguelike|lightbulb|medication|lim|solution|analyst|rogue like|incorporated|compliant|brainstorm|roguelike01|eubank|light bulb|scheme|malika lim|malika|hello_malika|bulbs|hellomalika|lightbulbs|light bulbs|brain storm|GIF|Animated GIF
l0Hlw3zXyjRQNwTbG,https://giphy.com/gifs/hyperrpg-middle-finger-cross-l0Hlw3zXyjRQNwTbG,7116902,pg-13,29,11,2016,04:24:16,1,1,2000,00:00:00,hyper rpg|hyperrpg|middle finger|cross|flip off|vanquished|flip the bird|middle fingers|flipping off|aljernon bolden|detective cross|aj bolden|thomas cross|GIF|Animated GIF
l0HUm0AYlRShnyQc8,https://giphy.com/gifs/hyperrpg-star-wars-twitch-l0HUm0AYlRShnyQc8,6732759,g,3,1,2018,23:41:18,1,1,2000,00:00:00,star wars|what|twitch|rpg|up|hyper rpg|hyperrpg|flirt|hyper_rpg|greeting|sup|is|pencils and parsecs|pnp|pencilsandparsecs|whats up|whats|edge of empire|leo camacho|leozombie|whats the haps|chunk nickmcnickerson|GIF|Animated GIF
3o7aCWilym9nS7Q2I0,https://giphy.com/gifs/hyperrpg-star-wars-pencils-and-parsecs-3o7aCWilym9nS7Q2I0,5870248,g,10,10,2017,02:22:20,1,1,2000,00:00:00,star wars|twitch|rpg|nerd|geek|hyper rpg|nerds|nerdy|geeky|geeks|hyperrpg|hyper|hyper_rpg|pencils and parsecs|porg|emma fyffe|porgs|kylara|bert jennings|pencils & parsecs|GIF|Animated GIF
1xOOtkRkI9HO1OWcDy,https://giphy.com/gifs/hyperrpg-game-reaction-1xOOtkRkI9HO1OWcDy,4672365,g,26,4,2018,23:55:56,29,6,2018,09:00:02,game|reaction|meme|sad|angry|reactions|live|test|mad|twitch|rpg|like|internet|online|upset|nerd|geek|player|dnd|gross|hyper rpg|nerds|d&d|nerdy|geeky|geeks|rage|hyperrpg|hate|data|hyper|stream|depressed|not|roleplaying|disappointed|hyper_rpg|throw|role playing|want|pissed|leave|do|rogue|disgusted|improv|stressed|disgust|fml|interweb|do not want|dungeon|inc|conspiracy|furious|ceo|zac|throwing|volunteer|dislike|roguelike|heartbroken|left|overlord|quit|bitter|give up|offended|medication|analyst|groaning|rogue like|incorporated|abandon thread|compliant|zac eubank|subject|disappoint|table flip|outraged|roguelike01|eubank|enraged|heated|irritable|zaceubank|groan|arentweclever|i quit|ceooverlord|ceo overlord|oversnort|given up|knocked over|knock over|hate my job|GIF|Animated GIF
uUkFJshdZAumBu0SMc,https://giphy.com/gifs/hyperrpg-game-reaction-uUkFJshdZAumBu0SMc,4621916,g,14,6,2018,02:55:11,10,7,2018,04:45:01,game|music|reaction|meme|yes|reactions|live|test|mrw|memes|twitch|rpg|good|like|internet|online|nerd|okay|geek|dnd|hyper rpg|nerds|d&d|nerdy|sing|geeky|geeks|yas|hyperrpg|data|piano|hyper|stream|true|nod|agree|roleplaying|hyper_rpg|role playing|fine|keyboard|si|yep|musician|rogue|improv|interweb|dungeon|yasss|inc|conspiracy|yea|volunteer|roguelike|exactly|agreed|es|medication|analyst|rogue like|incorporated|compliant|subject|roguelike01|affirmative|branson|concur|mrpianopants|branson nejame|nejame|this meme|thismeme|GIF|Animated GIF
XJpv5hd362gcvgQOVi,https://giphy.com/gifs/hyperrpg-game-friends-XJpv5hd362gcvgQOVi,4478076,g,10,3,2018,19:11:14,2,7,2018,17:15:01,game|cute|reaction|friends|yes|youtube|reactions|live|twitch|rpg|good|adorable|internet|online|nerd|okay|geek|dnd|hyper rpg|nerds|d&d|nerdy|geeky|geeks|yas|hyperrpg|hyper|stream|true|nod|agree|roleplaying|hyper_rpg|awww|role playing|fine|check|si|yep|fluffy|muppets|interweb|puppets|yasss|yea|agreed|perception|chunk|affirmative|perception check|felted friends|concur|felted|chunkerrific|GIF|Animated GIF
l4FGJTu70VK7bMm9G,https://giphy.com/gifs/hyperrpg-ignorance-hyper-rpg-l4FGJTu70VK7bMm9G,4045158,g,10,5,2017,21:15:11,11,5,2017,01:00:01,hyper rpg|vanquished|ignorance|dani fernandez|ignorant|snark|tell off|i think were all aware of your ignorance|GIF|Animated GIF
5tj9uOMvYja81hoJOi,https://giphy.com/gifs/hyperrpg-game-twitch-5tj9uOMvYja81hoJOi,4020456,g,24,2,2018,22:24:13,5,3,2018,10:45:01,game|reaction|yes|cool|reactions|yeah|twitch|rpg|nerd|geek|oh|dnd|hyper rpg|nerds|d&d|nerdy|really|geeky|geeks|yas|emotion|hyperrpg|story|hyper|jessica|emotions|roleplaying|o|hyper_rpg|cards|role playing|card|yep|unimpressed|impressed|shuffle|verdi|shuffling|jessica lynn verdi|jessicaverdi|rly|GIF|Animated GIF
l3diX4nySNL3A6bok,https://giphy.com/gifs/hyperrpg-reaction-star-wars-l3diX4nySNL3A6bok,4008031,g,17,1,2018,23:50:21,1,1,2000,00:00:00,reaction|meme|no|star wars|reactions|memes|twitch|nope|awkward|gross|hyper rpg|emotion|hate|ew|emotions|not|nah|hyper_rpg|want|do|cringe|disgusted|pencils and parsecs|disgust|do not want|pnp|eww|yuck|pencilsandparsecs|dislike|ewww|kym canon|edge of empire|kymcanon|aio|not interested|yucky|GIF|Animated GIF
xUOxfoySAVDVNhD3Py,https://giphy.com/gifs/hyperrpg-reaction-yes-xUOxfoySAVDVNhD3Py,3925621,g,29,11,2017,05:41:08,1,1,2000,00:00:00,game|reaction|yes|youtube|live|laugh|twitch|rpg|internet|online|nerd|geek|dnd|evil|hyper rpg|nerds|d&d|nerdy|geeky|geeks|hyperrpg|stream|roleplaying|hyper_rpg|power rangers|role playing|morph|interweb|game master|saban|hyperforce|hyper force|cackle|malika lim|hello_malika|muahaha|GIF|Animated GIF
3s20B53wgEh602dms3,https://giphy.com/gifs/hyperrpg-game-reaction-3s20B53wgEh602dms3,3735716,g,16,3,2018,05:15:45,17,3,2018,10:45:01,game|cute|reaction|dog|meme|sad|hot|reactions|live|test|crying|eyes|twitch|puppy|beautiful|rpg|like|action|adorable|internet|cry|online|nerd|geek|eye|player|dnd|please|hyper rpg|nerds|d&d|nerdy|handsome|geeky|geeks|emotion|hyperrpg|tears|i|data|hyper|stream|depressed|emotions|roleplaying|disappointed|hyper_rpg|zoom|more|awww|doggo|role playing|want|need|rogue|improv|doggy|interweb|has|tear|pup|dungeon|inc|conspiracy|sobbing|stella|volunteer|frown|roguelike|actions|heartbroken|pout|needs|sob|pls|close up|medication|moore|beg|begging|wants|sorrow|analyst|rogue like|chuu|incorporated|compliant|hawt|subject|melancholy|roguelike01|zoom in|plz|haz|enhance|pouting|somber|puppy eyes|moar|sad panda|tearful|frowning|stella chuu|stellachuuuuu|puppy dog eyes|moor|pupp|mooor|wantz|mooore|puppy dog eye|GIF|Animated GIF
oNFFpCh8qftgQNdnss,https://giphy.com/gifs/hyperrpg-game-reaction-oNFFpCh8qftgQNdnss,3715042,g,13,3,2018,04:04:37,19,3,2018,01:30:02,game|happy|reaction|lol|smile|excited|wow|reactions|live|laughing|scary|shocked|twitch|rpg|haha|good|action|internet|dark|awesome|online|yay|power|nerd|geek|react|joy|big|and|dnd|smiling|evil|lmao|great|go|nerds|d&d|nerdy|geeky|geeks|emotion|hyperrpg|battle|paper|job|hyper|dice|stream|tabletop|kaiju|good job|emotions|roll|die|roleplaying|content|power rangers|woah|ha|rolling|role playing|master|force|morph|gm|dm|streaming|hehe|pen|rofl|interweb|grin|rangers|shocking|giggle|fantastic|amused|dungeon|cheerful|joyful|impressive|villain|zac|mecha|actions|delighted|entertained|morphing|ranger|grinning|dungeon master|saban|mech|lim|go go|hyperforce|hyper force|sinister|eubank|zaceubank|roleplayer|arentweclever|megazord|dungeonmaster|pen and paper|sabans|gamemaster|zordon|saban's|villainous|zord|zords|lawl|thunderzord|malika lim|tehe|lawls|malika|hello_malika|hellomalika|vile|malicious|nefarious|malevolent|GIF|Animated GIF
3ohhwtpFc1WwxlVXfa,https://giphy.com/gifs/hyperrpg-reaction-fail-3ohhwtpFc1WwxlVXfa,3607430,g,7,10,2017,06:32:51,15,8,2018,20:30:01,reaction|fail|rpg|player|hyper rpg|hyperrpg|cooper|pencils and parsecs|pnp|pencilsandparsecs|edge of the empire|coop|shyguyexpress|star wars rpg|you had one job|one job|lol fail|1 job|mat acevedo|GIF|Animated GIF
3ohhwnxYCRnqkt99bG,https://giphy.com/gifs/hyperrpg-reaction-yes-3ohhwnxYCRnqkt99bG,3603793,g,7,10,2017,06:31:36,7,10,2017,20:00:01,reaction|yes|celebrate|rpg|player|hyper rpg|hyperrpg|pencils and parsecs|pnp|pencilsandparsecs|edge of the empire|you go girl|kym canon|kymcanon|aio corvica|star wars rpg|go get them|yuuusss|go get'em|yuuss|GIF|Animated GIF
FP48Ef3VkmtSNHelSF,https://giphy.com/gifs/hyperrpg-game-live-FP48Ef3VkmtSNHelSF,3571417,g,24,2,2018,22:57:37,5,3,2018,09:15:01,game|dance|happy|reaction|dancing|smile|excited|reactions|live|test|twitch|celebrate|rpg|like|action|internet|online|nerd|geek|player|joy|dnd|smiling|hyper rpg|nerds|d&d|nerdy|geeky|geeks|emotion|hyperrpg|data|hyper|stream|emotions|roleplaying|hyper_rpg|role playing|celebrating|rogue|improv|interweb|amused|dungeon|inc|conspiracy|groovy|volunteer|roguelike|actions|medication|danielle|analyst|rogue like|incorporated|compliant|subject|jiggy|danielle radford|danielleradford|radford|GIF|Animated GIF
xT9Igt2XKIcXy1NlYs,https://giphy.com/gifs/hyperrpg-cute-cool-xT9Igt2XKIcXy1NlYs,3416929,g,7,10,2017,00:57:41,10,12,2017,17:30:01,cute|cool|hello|kawaii|sunglasses|glasses|hyper rpg|hyperrpg|oh hai|saradresses|sara mostajabi|GIF|Animated GIF
26u4klcbN6i3xBFyo,https://giphy.com/gifs/hyperrpg-love-reaction-26u4klcbN6i3xBFyo,3382033,g,7,11,2017,01:52:25,1,1,2000,00:00:00,love|reaction|heart|rpg|ok|thumbs up|hyper rpg|hyperrpg|kisses|zoe|xoxo|excellent|mua|kiss kiss|kis|zombie orpheus|motm|masters of the metaverse|aquamarine|kisskiss|vanessa postil|beingaquamarine|GIF|Animated GIF
xUOwGpcWFEupKfRlZu,https://giphy.com/gifs/hyperrpg-twitch-hyper-rpg-xUOwGpcWFEupKfRlZu,3229282,g,27,1,2018,01:52:33,30,1,2018,11:45:01,coffee|drink|twitch|rpg|action|dnd|hyper rpg|hyperrpg|hyper_rpg|sip|chug|perception check|felted friends|jonny cruz|jonnycruzzz|made by annamberg1|GIF|Animated GIF
