game, 830, 6183531.689885983
reaction, 1086, 14078650.259486485
happy, 307, 3258283.640735863
friends, 72, 2684207.486632372
youtube, 383, 4221136.868156604
excited, 298, 2846971.130172892
reactions, 577, 5596004.98383652
live, 596, 5195428.43258433
action, 332, 3948078.835790837
twitch, 1419, 10246932.747226384
internet, 600, 5200879.787514806
online, 594, 5183995.410939309
rpg, 1571, 15313756.084898256
nerd, 854, 6044234.006716624
geek, 852, 6034311.6932245605
joy, 237, 2427095.951606468
dnd, 741, 6763644.809577654
pet, 12, 1697278.427802365
hyper rpg, 2081, 22359145.825378936
nerds, 850, 6032154.841925859
nerdy, 851, 6035422.781319799
d&d, 784, 5692205.914849591
geeky, 850, 6031233.3218603395
geeks, 848, 6023636.4859146755
emotion, 382, 5418960.91487965
hyperrpg, 1855, 19606654.770866554
emotions, 403, 5494298.6878084
stream, 594, 5183995.410939309
good job, 111, 1971514.1425940346
puppet, 9, 1667348.6303253183
check, 18, 2462942.986305673
hyper, 831, 7203141.482580722
muppets, 23, 2480774.4538239497
roleplaying, 811, 6035247.4925931515
hyper_rpg, 1137, 8444199.450751277
scratch, 2, 1640662.4
role playing, 785, 5699133.472541899
puppets, 24, 2492493.7008827734
amused, 229, 2353762.821827499
actions, 256, 3449483.502717406
interweb, 595, 5186466.077605976
joyful, 209, 2186603.449884
pat, 6, 1688242.0609705441
perception, 18, 2462942.986305673
petting, 5, 1666082.3433179623
scratching, 1, 1640602.309090909
chunk, 58, 1948574.912001622
pals, 2, 1645396.4295728367
perception check, 109, 4528552.112959833
felted friends, 74, 2871455.0653450987
patting, 3, 1650084.815302089
chunkerrific, 58, 1948574.912001622
felted, 23, 2480774.4538239497
GIF, 2260, 23690720.736920632
Animated GIF, 2260, 23690720.736920632
meme, 141, 892825.0293884142
angry, 149, 1618950.9919436055
what, 88, 903632.5779299067
crying, 50, 521790.674508937
mad, 91, 1381611.6270440083
memes, 120, 791343.4781888906
shocked, 196, 1236961.9553944957
upset, 107, 1347402.7811781522
cry, 46, 516293.2530858037
power, 145, 693374.1780492042
big, 107, 739253.8296038394
scream, 43, 501106.53054909926
and, 325, 1946687.5931197566
shock, 100, 696907.8045672147
react, 137, 726859.6517083417
please, 24, 497886.4828685741
go, 129, 742695.6779382963
rage, 81, 1308753.875882908
battle, 92, 665125.7689292281
paper, 122, 671545.6682813283
screaming, 28, 447618.9573047272
kaiju, 94, 680775.1136498317
dice, 134, 701175.360965527
roll, 142, 736113.0735917167
tabletop, 130, 693790.0687555721
die, 130, 693828.0998526536
yelling, 26, 446119.8116138928
rolling, 129, 700612.7646916518
power rangers, 329, 1945843.5230091638
master, 42, 467334.4780809812
force, 128, 686414.5335894024
pissed, 77, 1287223.409355415
wut, 46, 512696.967067239
morph, 132, 776524.6347527236
come on, 24, 458931.6395827861
streaming, 121, 671514.2769769805
dm, 55, 500784.66853979474
yell, 39, 486597.9679599037
pen, 122, 673468.3946240393
gm, 277, 1292117.5555364904
rangers, 137, 675904.2191813551
dungeon, 165, 839991.5853083329
furious, 103, 1383618.4962840083
mecha, 89, 662628.1120967639
morphing, 95, 643364.6918964691
ranger, 126, 675190.4044788338
repeat, 11, 407734.38447151537
try again, 25, 456298.07444348186
saban, 329, 1945843.5230091638
mech, 88, 659295.0373304088
howl, 19, 433710.16496813786
bitter, 81, 1334171.7438355503
go go, 122, 671704.1658658694
hyperforce, 294, 1847365.8218265807
hyper force, 264, 1341277.7072632858
lim, 38, 464198.4173460932
offended, 77, 1279788.5801348207
dungeon master, 120, 653503.0917675674
outraged, 77, 1262665.1948341844
roleplayer, 121, 671514.2769769805
megazord, 87, 657786.7373304088
pen and paper, 121, 671514.2769769805
dungeonmaster, 35, 459078.3977521224
enraged, 79, 1299909.7078712077
sabans, 121, 671514.2769769805
heated, 76, 1257801.9286360934
zordon, 87, 657786.7373304088
saban's, 105, 670537.0749989107
zord, 90, 661757.1303255779
zords, 87, 657786.7373304088
thunderzord, 87, 657786.7373304088
gamemaster, 35, 459078.3977521224
screech, 18, 424771.64189121476
irritable, 73, 1249547.4311763465
malika lim, 66, 654060.5792208192
shriek, 19, 424792.69594526885
hello_malika, 51, 612306.7537234876
malika, 33, 459860.61589165527
wail, 18, 424771.64189121476
wailing, 15, 416965.1578561624
shrieking, 16, 416986.2119102165
say that again, 4, 385683.1012222139
hellomalika, 34, 466415.3381458727
repeat that, 2, 395242.3087375804
angry girlfriend, 1, 379697.593220339
you done goofed, 1, 379697.593220339
angry wife, 1, 379697.593220339
angry gf, 2, 379762.64801485953
yu dun goofed, 1, 379697.593220339
angry wifey, 1, 379697.593220339
sassy, 64, 894991.5232620531
jessica, 33, 851421.8371754349
attitude, 48, 836504.426413636
mean, 1, 711116.0967741936
sass, 67, 929825.0956409189
cheeky, 48, 837796.5919148014
verdi, 33, 851421.8371754349
tude, 47, 835933.335504545
jessica lynn verdi, 37, 889749.5069853764
jessicaverdi, 37, 889749.5069853764
not nice, 1, 711116.0967741936
meany, 1, 711116.0967741936
meaney, 1, 711116.0967741936
star wars, 560, 3831513.072935217
no, 128, 1400427.4744464306
star, 225, 1495629.3407938576
confused, 125, 1263939.987307537
surprise, 89, 3045432.97894091
player, 338, 3982085.6957717543
empire, 200, 1256615.325442534
idk, 25, 621247.0342412047
i, 31, 634485.310700816
shrug, 17, 912317.2732220697
wars, 220, 1489161.2733831431
emma, 77, 836934.0398398022
idea, 7, 563776.8944696535
know, 16, 597034.9438869364
clueless, 1, 547848.697368421
rebels, 196, 1212724.4718969571
dont, 19, 609117.3704386
maybe, 7, 551524.0347307655
pencils and parsecs, 639, 7694224.127815666
i dont know, 15, 578593.0256961138
don't, 11, 659632.1217888012
pnp, 485, 6044961.537162338
dazed, 76, 735839.0098395831
rebellion, 196, 1212724.4718969571
shrugging, 9, 557487.8051058158
edge of the empire, 365, 5439890.527196744
pencilsandparsecs, 370, 3296272.040865048
scum, 196, 1212724.4718969571
pencils, 201, 1264966.763248916
fey, 50, 694616.1369071956
puzzled, 74, 773295.4687353221
emma fyffe, 182, 4568094.765625994
villainy, 196, 1212724.4718969571
no idea, 7, 559049.997791074
smugglers, 196, 1212724.4718969571
parsecs, 201, 1264966.763248916
emmafyffe, 178, 4318768.767231008
bewildered, 74, 735221.4776638936
baffled, 75, 734991.5376548157
kylara, 110, 1242630.9338310906
perplexed, 7, 559450.430881738
fyffe, 78, 839813.2751339198
befuddled, 73, 732655.1403484184
kylara fey, 69, 3724472.5475023077
muddled, 1, 547848.697368421
damn, 13, 2294414.2917792536
woah, 87, 2533586.560156601
dang, 9, 2285018.0392871713
star wars rpg, 101, 4013763.2973507154
beauty, 1, 1305924.0740740742
flirt, 75, 2029220.0430102954
flirting, 25, 1388172.6621210708
kate, 43, 1384476.234119955
glamour, 1, 1305924.0740740742
flirty, 5, 1350988.7303994922
glam, 1, 1305924.0740740742
attractive, 3, 1310019.2476851852
charisma, 3, 1331356.5310633215
elliott, 43, 1384476.234119955
charm, 63, 1711929.2187284674
attraction, 1, 1305924.0740740742
kate elliott, 52, 1429640.051089557
katerstweets, 52, 1430151.5868038426
appeal, 4, 1312351.0739655201
indomitable, 25, 1479189.3265344137
heroclix, 26, 1482469.0765344137
allure, 3, 1318048.1091091093
wizkids, 16, 1416032.509179138
yeah, 43, 965652.1855393262
ok, 21, 649787.2852153478
okay, 48, 598745.0067135599
gross, 100, 695148.1981247667
true, 28, 470439.81581143435
not, 85, 631838.0239291647
want, 73, 619897.2204100655
do, 76, 609201.0525265103
alright, 9, 420625.9910346594
disgusted, 73, 616401.6277827565
disgust, 81, 645779.3543787153
hector, 77, 538882.4984781564
do not want, 93, 791150.4218108397
navarro, 77, 538882.4984781564
eww, 33, 473142.1451522586
hector navarro, 164, 1015659.2402595961
understand, 3, 344015.6476113795
dislike, 68, 636183.1725821465
hectorisfunny, 152, 985504.3904358388
pnp01, 172, 609353.9595642454
ewww, 10, 439613.4970750733
huuurgh, 119, 799190.427464606
accept, 6, 397383.5470712008
aight, 1, 342198.26086956525
laugh, 35, 1573492.8592333007
evil laugh, 4, 1255667.7051282052
cucumber, 72, 1814515.362524026
cackle, 2, 1305964.170040486
cucumberlives, 72, 1814515.362524026
muahaha, 3, 1306461.3612169565
beer, 28, 688318.5335799603
drink, 26, 1019308.6108100319
drinking, 16, 741351.1189034863
monday, 5, 635942.2161073796
alcohol, 29, 691763.8214587482
emotional, 5, 639495.5229797979
relief, 3, 611239.8465686274
relieved, 2, 609498.2583333333
need a drink, 1, 608910.125
distress, 2, 617684.050925926
middle finger, 14, 547004.1816083903
cross, 2, 464165.55
flip off, 5, 519256.52595182596
vanquished, 193, 2524777.3043576363
flip the bird, 4, 466099.0805636503
middle fingers, 1, 460038.4666666667
flipping off, 4, 523363.2486215539
aljernon bolden, 16, 519277.2640729102
detective cross, 20, 584046.3868908837
aj bolden, 2, 469215.93333333335
thomas cross, 1, 460038.4666666667
porg, 25, 634579.5000666697
porgs, 32, 669057.9103909538
bert jennings, 116, 735656.8704923973
pencils & parsecs, 12, 276515.0408823839
yes, 65, 523259.70381208824
cool, 37, 600721.831557451
oh, 34, 187773.79677422374
really, 30, 263009.2062254884
story, 23, 146019.51961066487
yas, 35, 207267.17524610582
o, 3, 100667.60987421295
cards, 1, 90953.48837209302
card, 1, 90953.48837209302
unimpressed, 38, 204095.08342452897
yep, 38, 252640.62585181507
impressed, 9, 98597.92850540181
shuffle, 2, 92371.86932447397
shuffling, 1, 90953.48837209302
rly, 11, 139269.84463832792
greeting, 20, 271370.75871009653
edge of empire, 150, 845325.2082574355
leo camacho, 3, 237714.00543478262
leozombie, 3, 237714.00543478262
chunk nickmcnickerson, 3, 237714.00543478262
whats the haps, 1, 233065.625
dance, 134, 987010.3608755955
dancing, 70, 658485.5101502053
smile, 87, 572404.0205592278
test, 98, 281188.2496297712
celebrate, 47, 327338.0362382873
like, 146, 387841.8861396841
smiling, 69, 330496.3956983766
data, 143, 434850.474647852
celebrating, 5, 168354.71452052463
rogue, 136, 383468.5037324056
improv, 166, 460212.5931552214
inc, 134, 378921.7960056419
groovy, 4, 60504.52322677323
conspiracy, 159, 486582.52047260094
roguelike, 176, 502373.0202796199
volunteer, 135, 380948.4626723086
danielle, 8, 70907.23313030558
medication, 135, 380020.5607115243
rogue like, 175, 502080.65664325625
analyst, 134, 378921.7960056419
incorporated, 134, 378921.7960056419
jiggy, 41, 137484.28499547523
subject, 99, 285578.73942568956
compliant, 135, 379002.64107606444
danielle radford, 37, 192544.44500890042
danielleradford, 32, 183520.84416237852
radford, 8, 70907.23313030558
cute, 100, 712539.896258185
hello, 21, 440605.5718564832
kawaii, 28, 408265.1632673205
glasses, 13, 347634.97314812936
sunglasses, 14, 321461.1397260266
oh hai, 5, 287408.98931928264
saradresses, 9, 309267.97183927184
sara mostajabi, 6, 296203.2555555556
evil, 24, 163279.20952684517
game master, 180, 834270.4096701858
coffee, 6, 361836.51452020206
sip, 7, 186558.32119234756
chug, 5, 184515.56980250266
jonny cruz, 53, 580838.4999361277
jonnycruzzz, 48, 536870.5495115526
made by annamberg1, 21, 249432.43384870279
